Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
225,"CJ Fu, ZM Zhang","Nanoscale radiation heat transfer for silicon at different doping levels",2006,"International Journal of Heat and Mass Transfer","Elsevier","https://www.sciencedirect.com/science/article/pii/S0017931005006502","https://scholar.google.com/scholar?cites=6353015072603327067&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,"2018-12-02","HTML","","","",,,,,225,18.75,113,2,12
224,"G Domingues, S Volz, K Joulain, JJ Greffet","Heat transfer between two nanoparticles through near field interaction",2005,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.94.085901","https://scholar.google.com/scholar?cites=17333606463292004217&as_sdt=5,33&sciodt=0,33&hl=en&num=20",19,"2018-12-02","","","","",,,,,224,17.23,56,4,13
229,"A Narayanaswamy, S Shen, G Chen","Near-field radiative heat transfer between a sphere and a substrate",2008,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.78.115303","https://scholar.google.com/scholar?cites=13602791727135279248&as_sdt=5,33&sciodt=0,33&hl=en&num=20",20,"2018-12-02","","","","",,,,,229,22.90,76,3,10
217,"SA Biehs, M Tschikin, P Ben-Abdallah","Hyperbolic metamaterials as an analog of a blackbody in the near field",2012,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.109.104301","https://scholar.google.com/scholar?cites=12987928380772704676&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,"2018-12-02","","","","",,,,,217,36.17,72,3,6
218,"D Lacroix, K Joulain, D Lemonnier","Monte Carlo transient phonon transport in silicon and germanium at nanoscales",2005,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.72.064305","https://scholar.google.com/scholar?cites=17581420472183961582&as_sdt=5,33&sciodt=0,33&hl=en&num=20",22,"2018-12-02","","","","",,,,,218,16.77,73,3,13
197,"S Basu, YB Chen, ZM Zhang","Microscale radiation in thermophotovoltaic devices—a review",2007,"International Journal of Energy …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/er.1286","https://scholar.google.com/scholar?cites=8725828404408260586&as_sdt=5,33&sciodt=0,33&hl=en&num=20",23,"2018-12-02","","","","",,,,,197,17.91,66,3,11
178,"A Narayanaswamy, G Chen","Thermal near-field radiative transfer between two spheres",2008,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.77.075125","https://scholar.google.com/scholar?cites=1486082930141560719&as_sdt=5,33&sciodt=0,33&hl=en&num=20",24,"2018-12-02","","","","",,,,,178,17.80,89,2,10
169,"RS DiMatteo, P Greiff, SL Finberg…","Enhanced photogeneration of carriers in a semiconductor via coupling across a nonisothermal nanoscale vacuum gap",2001,"Applied Physics …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.1400762","https://scholar.google.com/scholar?cites=12887401846879196243&as_sdt=5,33&sciodt=0,33&hl=en&num=20",25,"2018-12-02","","","","",,,,,169,9.94,42,4,17
165,"JB Xu, K Läuger, R Möller, K Dransfeld…","Heat transfer between two metallic surfaces at small distances",1994,"Journal of Applied …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.358001","https://scholar.google.com/scholar?cites=6288124286735931286&as_sdt=5,33&sciodt=0,33&hl=en&num=20",26,"2018-12-02","","","","",,,,,165,6.88,33,5,24
147,"C Henkel, K Joulain, R Carminati, JJ Greffet","Spatial coherence of thermal near fields",2000,"Optics communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0030401800010488","https://scholar.google.com/scholar?cites=12267794265034694885&as_sdt=5,33&sciodt=0,33&hl=en&num=20",27,"2018-12-02","HTML","","","",,,,,147,8.17,37,4,18
147,"PO Chapuis, S Volz, C Henkel, K Joulain, JJ Greffet","Effects of spatial dispersion in near-field radiative heat transfer between two parallel metallic surfaces",2008,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.77.035431","https://scholar.google.com/scholar?cites=8404366441744377012&as_sdt=5,33&sciodt=0,33&hl=en&num=20",28,"2018-12-02","","","","",,,,,147,14.70,29,5,10
148,"O Ilic, M Jablan, JD Joannopoulos, I Celanovic…","Overcoming the black body limit in plasmonic and graphene near-field thermophotovoltaic systems",2012,"Optics …","osapublishing.org","https://www.osapublishing.org/abstract.cfm?uri=oe-20-S3-A366","https://scholar.google.com/scholar?cites=646915477691764661&as_sdt=5,33&sciodt=0,33&hl=en&num=20",29,"2018-12-02","","","","",,,,,148,24.67,30,5,6
144,"M Krüger, T Emig, M Kardar","Nonequilibrium electromagnetic fluctuations: Heat transfer and interactions",2011,"Physical Review Letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.106.210404","https://scholar.google.com/scholar?cites=5050181476680945328&as_sdt=5,33&sciodt=0,33&hl=en&num=20",30,"2018-12-02","","","","",,,,,144,20.57,48,3,7
135,"M Antezza, LP Pitaevskii, S Stringari, VB Svetovoy","Casimir-Lifshitz force out of thermal equilibrium",2008,"Physical Review A","APS","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.77.022901","https://scholar.google.com/scholar?cites=16035179290633142430&as_sdt=5,33&sciodt=0,33&hl=en&num=20",31,"2018-12-02","","","","",,,,,135,13.50,34,4,10
145,"AC Jones, MB Raschke","Thermal infrared near-field spectroscopy",2012,"Nano letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nl204201g","https://scholar.google.com/scholar?cites=12569239034539426509&as_sdt=5,33&sciodt=0,33&hl=en&num=20",32,"2018-12-02","","","","",,,,,145,24.17,73,2,6
143,"T Luo, G Chen","Nanoscale heat transfer–from computation to experiment",2013,"Physical Chemistry Chemical Physics","pubs.rsc.org","http://pubs.rsc.org/en/content/articlehtml/2013/cp/c2cp43771f","https://scholar.google.com/scholar?cites=381796591360397399&as_sdt=5,33&sciodt=0,33&hl=en&num=20",33,"2018-12-02","HTML","","","",,,,,143,28.60,72,2,5
131,"AW Rodriguez, O Ilic, P Bermel, I Celanovic…","Frequency-selective near-field radiative heat transfer between photonic crystal slabs: a computational approach for arbitrary geometries and materials",2011,"Physical review …","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.107.114302","https://scholar.google.com/scholar?cites=11617300382497396572&as_sdt=5,33&sciodt=0,33&hl=en&num=20",34,"2018-12-02","","","","",,,,,131,18.71,26,5,7
135,"M Francoeur, MP Mengüç, R Vaillon","Near-field radiative heat transfer enhancement via surface phonon polaritons coupling in thin films",2008,"Applied Physics Letters","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.2963195","https://scholar.google.com/scholar?cites=11144429176971681506&as_sdt=5,33&sciodt=0,33&hl=en&num=20",35,"2018-12-02","","","","",,,,,135,13.50,45,3,10
130,"MD Whale, EG Cravalho","Modeling and performance of microscale thermophotovoltaic energy conversion devices",2002,"IEEE Transactions on Energy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/986450/","https://scholar.google.com/scholar?cites=12434230557149162005&as_sdt=5,33&sciodt=0,33&hl=en&num=20",36,"2018-12-02","","","","",,,,,130,8.13,65,2,16
